symbol,open_time,open,high,low,close,volume
SUIUSDT,2024-01-01 00:00:00,0.7753,0.7832,0.7723,0.7816,2412827.1
SUIUSDT,2024-01-01 01:00:00,0.782,0.7918,0.7797,0.7862,1394489.8
SUIUSDT,2024-01-01 02:00:00,0.7865,0.787,0.7798,0.7816,708249.5
SUIUSDT,2024-01-01 03:00:00,0.7819,0.7833,0.7676,0.7702,1719188.9
SUIUSDT,2024-01-01 04:00:00,0.7703,0.7741,0.7559,0.7634,2499504.4
SUIUSDT,2024-01-01 05:00:00,0.7634,0.7672,0.7562,0.7585,1754739.9
SUIUSDT,2024-01-01 06:00:00,0.7585,0.7701,0.7557,0.7698,1865766.4
SUIUSDT,2024-01-01 07:00:00,0.7699,0.772,0.7649,0.7703,1510471.0
SUIUSDT,2024-01-01 08:00:00,0.7703,0.7756,0.7666,0.7755,1162636.0
SUIUSDT,2024-01-01 09:00:00,0.7756,0.7824,0.7737,0.7764,2475329.8
SUIUSDT,2024-01-01 10:00:00,0.7765,0.7835,0.7765,0.7828,1563547.5
SUIUSDT,2024-01-01 11:00:00,0.7828,0.7846,0.7786,0.7844,1815978.4
SUIUSDT,2024-01-01 12:00:00,0.7843,0.7858,0.7798,0.7815,959832.2
SUIUSDT,2024-01-01 13:00:00,0.7814,0.7867,0.7786,0.7825,1425257.9
SUIUSDT,2024-01-01 14:00:00,0.7824,0.7832,0.7771,0.7815,1226272.7
SUIUSDT,2024-01-01 15:00:00,0.7815,0.8073,0.7792,0.8047,2896762.9
SUIUSDT,2024-01-01 16:00:00,0.805,0.8236,0.7943,0.8186,5134058.6
SUIUSDT,2024-01-01 17:00:00,0.8186,0.8288,0.8161,0.8263,4094587.4
SUIUSDT,2024-01-01 18:00:00,0.8266,0.8429,0.8204,0.8263,4946311.6
SUIUSDT,2024-01-01 19:00:00,0.8264,0.8391,0.8264,0.838,1642283.7
SUIUSDT,2024-01-01 20:00:00,0.8381,0.8435,0.8337,0.8416,1731516.5
SUIUSDT,2024-01-01 21:00:00,0.842,0.8456,0.8344,0.8424,1881917.8
SUIUSDT,2024-01-01 22:00:00,0.8426,0.8478,0.8333,0.8424,1625906.9
SUIUSDT,2024-01-01 23:00:00,0.8423,0.8446,0.8399,0.8438,1414434.4
SUIUSDT,2024-01-02 00:00:00,0.8438,0.8484,0.84,0.8417,2835738.9
SUIUSDT,2024-01-02 01:00:00,0.8417,0.868,0.84,0.8669,4543981.9
